FactSales[TransactionID];FactSales[SellerID];FactSales[CustomerID];FactSales[Invoice];FactSales[SKUID];FactSales[Quantity];FactSales[UnitaryPrice];FactSales[TaxRate];FactSales[invoice_Hora];FactSales[Invoice_Min]
20502;127;268;62464;539;1;13;15;15;50
21594;127;654;62901;614;1;13;15;13;44
22779;127;288;63399;554;1;13;15;15;23
23166;127;205;63565;592;1;13;15;16;35
23835;127;402;63798;583;1;13;15;20;39
24477;127;279;64054;616;1;13;15;10;3
25178;127;268;64295;543;1;13;15;16;30
25491;127;329;64404;559;1;13;15;19;55
25903;127;381;64560;543;1;13;15;10;38
27447;127;277;65188;598;1;13;15;10;20
28335;127;254;65521;598;1;13;15;19;27
28879;127;189;65718;553;1;13;15;19;19
30967;127;203;66502;589;1;13;15;10;8
33099;127;611;67368;604;1;13;15;13;59
33398;127;238;67482;560;1;13;15;12;25
33844;127;397;67663;536;1;13;15;10;54
33856;127;496;67668;589;1;13;15;12;48
35145;127;294;68138;547;1;13;15;12;24
36311;127;277;68623;570;1;13;15;20;16
37506;127;379;69064;583;1;13;15;13;57
38647;127;215;69500;583;1;13;15;13;11
40951;127;329;70346;549;1;13;15;12;46
41937;127;288;70724;553;1;13;15;21;7
41958;127;489;70730;548;1;13;15;15;32
42601;127;164;70969;598;1;13;15;22;3
42617;127;381;70975;614;1;13;15;22;51
42628;127;614;70981;583;1;13;15;22;27
43068;127;205;71152;595;1;13;15;21;40
43350;127;296;71273;606;1;13;15;10;30
43649;127;397;71374;595;1;13;15;12;2
44058;127;215;71519;580;1;13;15;22;59
45436;127;296;72048;555;1;13;15;11;3
45565;127;353;72109;578;1;13;15;22;15
47452;127;353;72844;598;1;13;15;20;51
47457;127;396;72846;595;1;13;15;17;14
47459;127;402;72848;557;1;13;15;13;58
47469;127;489;72851;545;1;13;15;12;19
47921;127;177;73031;548;1;13;15;11;33
48081;127;621;73094;611;1;13;15;15;20
48085;127;658;73096;572;1;13;15;13;53
48612;127;380;73314;549;1;13;15;22;51
48925;127;611;73419;552;1;13;15;22;14
49134;127;238;73508;601;1;13;15;23;2
50657;127;205;74075;553;1;13;15;18;16
50664;127;268;74079;549;1;13;15;20;6
50978;127;356;74196;611;1;13;15;9;37
52535;127;189;74812;554;1;13;15;23;50
52878;127;238;74946;578;1;13;15;22;50
53119;127;489;75049;572;1;13;15;13;56
53292;127;396;75121;617;1;13;15;11;39
53483;127;164;75211;613;1;13;15;15;13
53504;127;373;75222;588;1;13;15;15;56
54093;127;294;75476;617;1;13;15;10;59
54268;127;611;75557;572;1;13;15;19;48
54701;127;381;75730;601;1;13;15;20;3
55217;127;489;75898;548;1;13;15;9;24
55710;127;329;76078;573;1;13;15;17;45
55714;127;379;76080;603;1;13;15;20;40
55934;127;489;76161;606;1;13;15;14;35
56754;127;203;76475;557;1;13;15;15;45
56776;127;621;76483;572;1;13;15;11;48
57994;127;380;76919;608;1;13;15;18;9
57995;127;380;76919;568;1;13;15;18;9
58568;127;614;77169;580;1;13;15;9;19
60115;127;381;77782;541;1;13;15;16;51
60289;127;165;77859;553;1;13;15;12;15
61821;127;329;78473;603;1;13;15;19;40
62537;127;254;78733;552;1;13;15;20;27
62553;127;489;78743;592;1;13;15;20;7
63089;127;215;78949;572;1;13;15;23;21
63718;127;296;79212;543;1;13;15;13;55
65565;127;489;79960;549;1;13;15;10;23
65949;127;294;80109;549;1;13;15;17;38
66251;127;203;80230;548;1;13;15;16;59
66263;127;402;80235;586;1;13;15;9;44
66404;127;279;80280;560;1;13;15;21;16
66912;127;614;80463;606;1;13;15;21;28
66913;127;614;80463;603;1;13;15;21;28
67272;127;165;80602;560;1;13;15;14;31
67856;127;323;80844;614;1;13;15;17;18
68153;127;189;80979;568;1;13;15;15;17
68170;127;381;80984;539;1;13;15;15;26
69418;127;329;81486;613;1;13;15;13;16
72257;127;268;82605;608;1;13;15;20;59
72261;127;353;82608;554;1;13;15;20;28
72699;127;238;82785;541;1;13;15;14;50
74401;127;489;83430;598;1;13;15;19;17
75311;127;381;83780;545;1;13;15;10;30
76714;127;396;84341;617;1;13;15;21;59
77482;127;700;84623;570;1;13;15;12;3
77866;127;340;84763;617;1;13;15;12;53
78112;127;308;84857;601;1;13;15;16;46
79429;127;614;85389;580;1;13;15;22;51
80264;127;268;85723;592;1;13;15;21;25
80287;127;658;85731;552;1;13;15;11;47
82770;127;621;86714;588;1;13;15;22;49
83033;127;621;86819;552;1;13;15;10;20
85188;127;329;87648;557;1;13;15;14;58
86440;127;308;88158;552;1;13;15;23;19
86923;127;381;88370;592;1;13;15;11;38
89481;127;277;89364;580;1;13;15;18;11
89667;127;353;89436;543;1;13;15;14;29
90937;127;379;89935;601;1;13;15;13;38
91255;127;205;90056;547;1;13;15;13;11
91271;127;380;90062;606;1;13;15;23;29
91889;127;373;90291;583;1;13;15;12;10
93488;127;645;90925;536;1;13;15;17;14
94833;127;373;91440;572;1;13;15;20;29
95123;127;675;91562;536;1;13;15;17;19
95369;127;489;91640;559;1;13;15;10;29
95549;127;279;91727;586;1;13;15;23;7
96334;127;700;92047;614;1;13;15;19;31
96574;127;645;92141;617;1;13;15;22;27
96855;127;296;92247;545;1;13;15;20;27
96862;127;402;92251;547;1;13;15;21;0
96864;127;402;92251;554;1;13;15;21;0
97749;127;645;92630;560;1;13;15;17;6
97918;127;254;92693;539;1;13;15;17;53
97930;127;614;92699;613;1;13;15;19;25
100935;127;288;93934;573;1;13;15;21;0
101346;127;397;94107;608;1;13;15;9;7
101999;127;164;94358;554;1;13;15;14;28
103574;127;268;94992;555;1;13;15;13;46
105111;127;645;95601;539;1;13;15;17;17
106322;127;296;96083;592;1;13;15;23;11
106343;127;700;96093;583;1;13;15;10;32
107169;127;645;96401;555;1;13;15;10;53
108116;127;397;96734;616;1;13;15;15;12
109366;127;238;97222;560;1;13;15;12;12
109608;127;380;97318;578;1;13;15;21;24
110523;127;165;97676;592;1;13;15;23;16
113865;127;205;99003;545;1;13;15;14;4
114291;127;379;99158;604;1;13;15;9;14
114306;127;645;99163;617;1;13;15;14;37
114478;127;353;99238;576;1;13;15;18;16
114894;127;254;99417;611;1;13;15;22;25
115256;127;496;99552;616;1;13;15;12;26
115258;127;645;99553;572;1;13;15;18;26
115262;127;675;99554;576;1;13;15;22;40
115267;127;675;99554;611;1;13;15;22;40
115533;127;177;99653;601;1;13;15;13;39
115534;127;177;99653;613;1;13;15;13;39
115537;127;296;99654;545;1;13;15;13;44
115542;127;308;99656;613;1;13;15;11;9
115546;127;654;99659;554;1;13;15;21;51
115682;127;165;99713;560;1;13;15;23;17
115685;127;203;99715;560;1;13;15;14;39
115686;127;203;99715;598;1;13;15;14;39
115697;127;356;99720;555;1;13;15;19;54
115701;127;396;99721;578;1;13;15;22;21
115703;127;396;99721;586;1;13;15;22;21
115715;127;645;99724;583;1;13;15;23;4
116094;127;496;99861;545;1;13;15;16;48
116096;127;496;99861;553;1;13;15;16;48
116307;127;621;99946;549;1;13;15;15;5
116452;127;189;100007;536;1;13;15;21;18
116695;127;243;100113;559;1;13;15;23;53
116698;127;329;100115;595;1;13;15;19;38
116712;127;654;100119;592;1;13;15;9;8
116714;127;654;100119;613;1;13;15;9;8
117051;127;288;100236;580;1;13;15;12;17
117057;127;489;100239;586;1;13;15;15;3
117218;127;243;100298;604;1;13;15;23;32
117219;127;254;100299;601;1;13;15;11;9
117222;127;254;100299;608;1;13;15;11;9
117225;127;323;100301;572;1;13;15;19;26
117501;127;189;100401;586;1;13;15;14;10
117521;127;700;100408;601;1;13;15;12;42
117717;127;165;100494;604;1;13;15;13;22
117722;127;489;100495;554;1;13;15;17;24
117893;127;215;100560;598;1;13;15;18;40
118289;127;238;100695;578;1;13;15;14;21
118302;127;373;100701;592;1;13;15;13;53
118320;127;489;100705;541;1;13;15;22;9
118551;127;203;100793;601;1;13;15;23;45
118635;127;177;100826;588;1;13;15;11;26
118646;127;396;100830;598;1;13;15;12;12
118648;127;396;100830;563;1;13;15;12;12
118870;127;296;100925;543;1;13;15;11;49
118871;127;296;100925;598;1;13;15;11;49
119057;127;397;100998;554;1;13;15;11;24
119299;127;237;101097;576;1;13;15;19;58
119322;127;658;101104;578;1;13;15;14;25
120045;127;177;101369;563;1;13;15;12;54
120046;127;177;101369;613;1;13;15;12;54
120059;127;645;101374;560;1;13;15;15;31
120243;127;254;101463;608;1;13;15;21;38
120391;127;205;101521;553;1;13;15;14;55
120394;127;238;101522;541;1;13;15;22;54
120398;127;268;101523;549;1;13;15;15;48
120409;127;489;101527;545;1;13;15;9;42
120718;127;165;101646;588;1;13;15;9;7
120948;127;243;101735;559;1;13;15;12;41
120955;127;277;101737;616;1;13;15;11;1
120959;127;279;101738;589;1;13;15;9;28
120968;127;614;101743;557;1;13;15;21;33
121232;127;402;101848;545;1;13;15;11;27
121509;127;373;101946;603;1;13;15;17;29
121523;127;496;101951;606;1;13;15;22;17
121779;127;165;102039;549;1;13;15;20;39
121783;127;356;102040;611;1;13;15;17;52
122461;127;189;102294;554;1;13;15;17;17
122467;127;373;102296;586;1;13;15;12;54
122470;127;373;102296;552;1;13;15;12;54
122489;127;614;102302;536;1;13;15;21;20
122802;127;215;102425;613;1;13;15;14;48
122804;127;215;102425;580;1;13;15;14;48
122810;127;381;102428;583;1;13;15;20;6
123014;127;164;102514;583;1;13;15;22;29
123036;127;675;102524;608;1;13;15;17;24
123268;127;614;102615;539;1;13;15;19;13
123399;127;164;102671;613;1;13;15;19;42
123402;127;181;102673;592;1;13;15;10;19
123408;127;243;102675;604;1;13;15;23;19
123414;127;254;102676;601;1;13;15;20;21
123419;127;373;102679;554;1;13;15;13;41
123420;127;373;102679;588;1;13;15;13;41
123428;127;700;102686;536;1;13;15;16;45
123675;127;215;102779;603;1;13;15;10;50
123693;127;489;102784;572;1;13;15;14;49
123694;127;489;102784;539;1;13;15;14;49
123865;127;654;102855;614;1;13;15;11;12
123866;127;654;102855;549;1;13;15;11;12
124103;127;268;102968;583;1;13;15;18;32
124104;127;268;102968;614;1;13;15;18;32
124108;127;296;102970;555;1;13;15;9;11
124109;127;296;102970;601;1;13;15;9;11
124116;127;340;102971;549;1;13;15;14;13
124122;127;396;102973;617;1;13;15;19;33
124312;127;238;103062;578;1;13;15;13;25
124621;127;177;103185;614;1;13;15;13;2
124632;127;381;103189;611;1;13;15;17;7
124633;127;381;103189;601;1;13;15;17;7
124637;127;397;103190;595;1;13;15;19;0
124654;127;645;103194;603;1;13;15;16;8
124999;127;611;103310;572;1;13;15;23;19
125000;127;611;103310;588;1;13;15;23;19
125155;127;294;103377;566;1;13;15;19;3
125157;127;294;103377;586;1;13;15;19;3
125165;127;489;103382;548;1;13;15;21;33
125169;127;621;103383;559;1;13;15;16;5
125372;127;165;103468;559;1;13;15;13;43
125623;127;238;103564;536;1;13;15;13;14
125625;127;279;103565;580;1;13;15;22;46
125628;127;294;103567;617;1;13;15;16;46
125630;127;323;103569;616;1;13;15;22;23
125632;127;323;103569;608;1;13;15;22;23
126146;127;329;103774;573;1;13;15;21;30
126150;127;379;103775;603;1;13;15;12;11
126160;127;654;103778;536;1;13;15;12;13
126348;127;294;103857;580;1;13;15;16;33
126357;127;654;103863;589;1;13;15;23;23
126548;127;238;103937;539;1;13;15;11;49
126553;127;277;103939;547;1;13;15;15;16
126555;127;277;103939;553;1;13;15;15;16
126579;127;489;103945;548;1;13;15;10;26
126583;127;489;103945;606;1;13;15;10;26
126590;127;645;103947;573;1;13;15;12;36
126596;127;675;103951;586;1;13;15;22;57
126601;127;700;103952;549;1;13;15;16;58
126943;127;614;104071;570;1;13;15;17;52
126948;127;614;104071;539;1;13;15;17;52
127195;127;181;104162;580;1;13;15;9;38
127202;127;243;104163;601;1;13;15;10;41
127282;127;353;104192;592;1;13;15;10;58
127284;127;381;104194;614;1;13;15;19;1
127483;127;356;104275;563;1;13;15;14;24
127493;127;611;104278;566;1;13;15;14;38
127495;127;614;104279;557;1;13;15;13;47
127806;127;189;104391;611;1;13;15;16;49
127813;127;238;104393;557;1;13;15;16;48
127814;127;254;104394;601;1;13;15;13;4
128011;127;323;104487;566;1;13;15;13;10
128013;127;323;104487;608;1;13;15;13;10
128014;127;323;104487;617;1;13;15;13;10
128351;127;189;104608;539;1;13;15;15;50
128356;127;203;104610;557;1;13;15;23;36
128378;127;621;104618;572;1;13;15;22;39
128691;127;380;104725;608;1;13;15;11;37
128692;127;380;104725;568;1;13;15;11;37
128696;127;402;104727;613;1;13;15;12;38
128872;127;288;104792;554;1;13;15;21;53
129035;127;614;104857;580;1;13;15;17;55
129381;127;645;104978;553;1;13;15;12;7
129383;127;645;104978;557;1;13;15;12;7
129673;127;164;105101;549;1;13;15;21;38
129675;127;215;105103;603;1;13;15;15;8
129678;127;215;105103;555;1;13;15;15;8
129680;127;243;105105;611;1;13;15;15;25
129686;127;288;105109;541;1;13;15;23;56
130188;127;340;105301;563;1;13;15;20;56
130194;127;658;105304;560;1;13;15;9;46
130325;127;181;105360;549;1;13;15;13;7
130331;127;237;105362;543;1;13;15;20;47
130333;127;238;105363;592;1;13;15;12;20
130339;127;279;105366;549;1;13;15;16;7
130349;127;381;105369;559;1;13;15;16;12
130665;127;381;105496;541;1;13;15;19;45
130847;127;203;105574;604;1;13;15;20;25
130864;127;308;105578;543;1;13;15;15;8
130868;127;489;105582;539;1;13;15;14;47
131133;127;165;105686;553;1;13;15;10;22
131134;127;165;105686;548;1;13;15;10;22
131142;127;381;105689;608;1;13;15;23;3
131152;127;489;105693;563;1;13;15;14;12
131156;127;654;105695;601;1;13;15;18;16
131484;127;279;105816;614;1;13;15;9;10
131509;127;621;105825;601;1;13;15;10;46
131755;127;237;105919;617;1;13;15;9;25
131857;127;165;105960;548;1;13;15;23;5
131864;127;243;105962;541;1;13;15;21;45
131869;127;353;105964;570;1;13;15;22;35
132403;127;254;106170;552;1;13;15;23;49
132413;127;380;106175;606;1;13;15;21;0
132419;127;489;106179;592;1;13;15;23;54
132423;127;654;106181;541;1;13;15;18;23
132671;127;329;106289;603;1;13;15;16;27
132694;127;658;106298;555;1;13;15;13;9
132695;127;658;106298;560;1;13;15;13;9
133476;127;215;106582;572;1;13;15;18;32
133485;127;379;106585;543;1;13;15;12;25
133696;127;215;106672;614;1;13;15;11;8
133698;127;215;106672;543;1;13;15;11;8
133701;127;397;106674;554;1;13;15;14;20
133874;127;654;106760;545;1;13;15;17;24
134147;127;238;106865;614;1;13;15;9;23
134167;127;621;106877;573;1;13;15;22;21
134380;127;296;106952;568;1;13;15;12;9
134381;127;296;106952;543;1;13;15;12;9
134466;127;654;106994;572;1;13;15;12;38
134470;127;654;106994;580;1;13;15;12;38
134472;127;654;106994;547;1;13;15;12;38
134728;127;379;107086;570;1;13;15;18;48
134742;127;645;107091;543;1;13;15;19;54
134745;127;675;107093;547;1;13;15;16;46
135025;127;288;107205;604;1;13;15;19;24
135039;127;496;107212;613;1;13;15;21;37
135042;127;496;107212;560;1;13;15;21;37
135530;127;373;107393;592;1;13;15;19;50
135531;127;396;107395;595;1;13;15;9;49
135798;127;288;107498;592;1;13;15;10;39
135801;127;396;107499;570;1;13;15;16;26
135807;127;614;107501;616;1;13;15;12;10
135863;127;215;107523;553;1;13;15;23;40
135867;127;277;107525;547;1;13;15;17;3
135871;127;294;107527;549;1;13;15;18;42
135872;127;294;107527;555;1;13;15;18;42
135894;127;645;107535;559;1;13;15;21;49
136064;127;203;107615;601;1;13;15;19;59
136071;127;489;107618;549;1;13;15;21;0
136209;127;203;107675;548;1;13;15;23;35
136220;127;402;107681;570;1;13;15;14;14
136221;127;402;107681;586;1;13;15;14;14
136366;127;654;107730;578;1;13;15;15;43
136627;127;700;107835;606;1;13;15;13;28
136950;127;165;107976;560;1;13;15;23;25
136951;127;165;107976;606;1;13;15;23;25
137298;127;308;108119;586;1;13;15;16;49
137300;127;308;108119;559;1;13;15;16;49
137499;127;243;108195;557;1;13;15;16;1
137504;127;323;108196;613;1;13;15;22;13
137525;127;489;108203;604;1;13;15;13;7
137675;127;203;108275;557;1;13;15;16;29
137678;127;203;108275;586;1;13;15;16;29
137692;127;614;108283;606;1;13;15;10;59
137693;127;614;108283;603;1;13;15;10;59
137694;127;614;108283;573;1;13;15;10;59
137697;127;645;108284;578;1;13;15;14;50
137700;127;658;108286;617;1;13;15;18;54
137702;127;658;108286;602;1;13;15;18;54
138026;127;279;108417;560;1;13;15;23;35
138056;127;621;108425;608;1;13;15;19;47
138393;127;308;108562;586;1;13;15;11;31
138399;127;373;108565;545;1;13;15;9;20
138631;127;177;108660;547;1;13;15;21;31
138642;127;296;108666;603;1;13;15;14;25
138817;127;294;108745;547;1;13;15;12;34
138827;127;396;108752;568;1;13;15;12;38
138831;127;621;108757;604;1;13;15;23;25
139065;127;189;108837;568;1;13;15;17;51
139077;127;353;108842;586;1;13;15;21;11
139082;127;381;108845;539;1;13;15;18;26
139087;127;402;108847;536;1;13;15;18;11
139288;127;215;108927;563;1;13;15;9;33
139290;127;215;108927;613;1;13;15;9;33
139292;127;323;108929;614;1;13;15;11;22
139422;127;177;108984;570;1;13;15;21;48
139428;127;181;108986;586;1;13;15;18;32
139429;127;181;108986;578;1;13;15;18;32
139430;127;340;108987;608;1;13;15;18;50
139966;127;329;109187;613;1;13;15;16;5
139970;127;329;109187;606;1;13;15;16;5
139973;127;379;109191;604;1;13;15;21;47
139975;127;379;109191;568;1;13;15;21;47
139978;127;380;109192;539;1;13;15;11;16
139983;127;611;109193;603;1;13;15;18;42
140247;127;203;109284;541;1;13;15;10;46
140249;127;203;109284;606;1;13;15;10;46
140250;127;203;109284;586;1;13;15;10;46
140254;127;237;109285;602;1;13;15;22;5
140501;127;268;109389;559;1;13;15;23;0
140711;127;205;109476;576;1;13;15;16;57
140722;127;279;109479;592;1;13;15;19;51
140731;127;614;109483;580;1;13;15;14;30
140745;127;675;109486;573;1;13;15;22;29
141190;127;329;109655;592;1;13;15;10;47
141191;127;329;109655;617;1;13;15;10;47
141198;127;379;109656;563;1;13;15;13;33
141434;127;189;109754;601;1;13;15;22;1
141438;127;205;109756;552;1;13;15;16;54
141440;127;279;109757;606;1;13;15;14;47
141441;127;279;109757;568;1;13;15;14;47
141842;127;373;109935;552;1;13;15;23;50
141851;127;496;109941;555;1;13;15;19;49
141855;127;658;109943;570;1;13;15;16;35
142177;127;308;110064;606;1;13;15;17;40
142183;127;645;110065;617;1;13;15;9;38
142459;127;238;110206;541;1;13;15;22;8
142461;127;238;110206;614;1;13;15;22;8
142472;127;489;110211;606;1;13;15;21;26
142476;127;614;110212;566;1;13;15;10;15
142684;127;268;110298;547;1;13;15;10;56
142686;127;268;110298;606;1;13;15;10;56
142687;127;268;110298;608;1;13;15;10;56
142690;127;279;110300;560;1;13;15;22;43
142691;127;353;110302;554;1;13;15;20;1
142697;127;356;110303;606;1;13;15;22;48
143032;127;189;110427;588;1;13;15;15;54
143039;127;489;110431;560;1;13;15;16;46
143040;127;489;110431;589;1;13;15;16;46
143513;127;254;110616;589;1;13;15;13;38
143802;127;654;110732;583;1;13;15;11;18
143994;127;279;110807;586;1;13;15;18;28
144003;127;356;110813;559;1;13;15;19;34
144006;127;356;110813;548;1;13;15;19;34
144007;127;356;110813;578;1;13;15;19;34
144025;127;489;110817;568;1;13;15;13;18
144298;127;165;110903;553;1;13;15;19;28
144301;127;189;110904;613;1;13;15;23;20
144306;127;373;110906;608;1;13;15;13;41
144307;127;373;110906;583;1;13;15;13;41
144616;127;308;111013;539;1;13;15;18;43
144620;127;329;111015;536;1;13;15;11;10
145183;127;288;111237;586;1;13;15;23;30
145190;127;489;111240;598;1;13;15;12;8
145191;127;489;111240;545;1;13;15;12;8
145297;127;296;111281;601;1;13;15;12;11
145310;127;489;111285;613;1;13;15;16;51
145315;127;489;111285;557;1;13;15;16;51
145324;127;611;111287;552;1;13;15;10;14
145330;127;675;111289;568;1;13;15;18;22
145596;127;621;111402;580;1;13;15;22;28
145945;127;205;111523;578;1;13;15;12;38
